Company,Chief Executive,CEO Position,Business Enquiry,Business Contact Person,Year of Incorporation,Office Address,PostCode,City/Town,State,Country,Telephone,Fax,Email,Website,Raw Materials Used,Production Process,Products Manufactured,Miscellaneous data 1,Miscellaneous data 2,Miscellaneous data 3,,
"
Sujplas Sdn Bhd(440069-P)",Mohd Hamka Mohd Hassan,Managing Director,Hadibah Hassin,Sales & Marketing Manager,1997,"Lot PT 12216, Jakar Phase III, 
Kemaman
",24000,Terengganu,Malaysia,609-868 7150,"ISO 9001:2008
","PP
","Lamination, Recycling, Filament Winding
",,,,,,,,,
"
Summit Joy Sdn Bhd(600922-P)",Chew Mun Wah,Managing Director,Chew Mun Wah,Managing Director,2002,"9, Persiaran Perindustrian Pengkalan 1, 
Kawasan Perindustrian Pengkalan, 
Lahat
",31500,Perak,Malaysia,605-323 3479,"Injection Moulding
","Industrial Parts
, Industrial and Construction",None,,,,,,,,,
"
Sun Beam Plastic Sdn Bhd(233072-T)",Kam Lup Yoong,Managing Director,Heng Yik Wai,Factory Manager,1986,"6, Jalan Bukit 2, 
Kawasan Miel, Phase 1, 
Bandar Sri alam, Masai
",81750,Johor,Malaysia,607-386 1748/388 2826,"Injection Moulding
","Housewares
, Houseware",None,,,,,,,,,
"
Sunny Packaging Industries Sdn Bhd(92969-H)",Jason Teo,Director,Theresa Lim,Director,1982,"66, 68 & 70, Jalan Perdagangan 16, 
Taman Universiti Industrial Park, 
Skudai
",81300,Johor,Malaysia,607-520 5320,"ISO 9001, ISO 14001
","EVA, PE, PP, HD
","Film Blowing/Film Extrusion
",,,,,,,,,
"
Sunnyjaya Plastic Industries Sdn Bhd",Ong Teng Ngo,Managing Director,Ong Teng Ngo,Managing Director,1999,"Plot 65 (A),Lorong Perindustrian Bukit Minyak 14, 
Kawasan Perindustrian Bukit Minyak, 
Seberang Perai
",14100,Pulau Pinang,Malaysia,604-507 3597,"Recycling
","Recycled Plastic Resin
",None,,,,,,,,,
"
Sunrich Serene Sdn Bhd(1269206-M)",Lu Jiaju,None,None,Manager,2018,"94, Lorong P/AM 6/1, 
Kawasan Perusahaan Arab Malaysian
",71800,Nilai,Negeri Sembilan,Malaysia,"PET Flakes
","Tape Extrusion
","PET Strap
",,None,,,,None,,,
"
Sunrise Plastic Manufacturing Sdn Bhd",Chong Chung Voon,Director,Chong Choon Loy,Director,,"Lot 211 & 212, Jalan Abell, 
Kuching
",93100,Sarawak,Malaysia,6082-236 424,"Foam Moulding 
","Containers and Bottles
,Containers and Bottles",None,,None,,,,,,,
"
Superace (M) Sdn Bhd(55468-T)",Lim Pak Peng,CEO,Lim Pak Peng,CEO,1980,"Lot 202179, Jalan Zarib Tiga, 
Zarib Industrial Park, 
Ipoh
",31500,Perak,Malaysia,605-323 2668,"PEACE, ACE BASY, ONLY ME
","ISO 9001 : 2008 QMS REGO AR 4174
","PC ,PP, PS, Liquid Silicone Rubber, TPG
",,,,,,,,,
"
Superace Marketing (M) Sdn Bhd(425079-V)",David Lim Pak Peng,None,None,Chief Executive Officer,1997,"Lot 202179, Jalan Zarib3, 
Zarib Industrial Park
",31500,Ipoh,Perak,Malaysia,"PEACE, ACE
","Blow Moulding
","Bottles, Nipple, Apparels, Pacifier, Accessories, Toiletries
,Children, Toiletries Personal Items",,None,,,,None,,,
"
Swanson Plastics (Malaysia) Sdn Bhd",Capt Tan Hai-Hao,Managing director,CP Bong,Sales Manager,2000,"Plot 505, Tingkat Perusahaan 4A, 
Kawasan Perusahaan Perai, Zon Perdagan Bebas, 
Perai
",13600,Seberang Perai,Pulau Pinang,Malaysia,"
www.swanson.com.tw,","ISO 9001 : 2008
","PE
",,,,,,,,,
"
S-Way Resources Sdn Bhd(845169-M)",Johnson Tan,MD,Johnson Tan,MD,2001,"188& 189, Jalan Pinang 1, 
Taman Kota Kulai, 
Kulai
",81000,Johor,Malaysia,1700 818 313,"S-WAY RESOURCES SDN BHD
","PE, PP
","Recycling 
",,,,,,,,,
"
Sweetco Industrial Sdn Bhd(186124-H)",Ng Wee Yiew,Managing Director,Ng Kong Leng,General Manager,1990,"38, Jalan Sungai Besi
",57100,Wilayah Persekutuan,Malaysia,603-9223 6828,"SWEETCO
","HDPE, LDPE
","Film Blowing/Film Extrusion, Pipe Extrusion, Yarn Extrusion, Extrusion , Lamination, Loom Weaving, Coating, Sliding, Heat-Sealing
",,,,,,,,,
"
Syarikat Jun Chong Sdn Bhd(11881-U)",Yap Chen Chong,Managing Director,Yap Chen Chong,Managing Director,1972,"18, 
Jalan Lambak, 
Kluang
",86000,Johor,Malaysia,607-772 5188,"CROSS MARK, PB, PLANTEE, POLY
","ISO 9001 : 2008
","ABS, PA, PE, POM, PP, PU, PVC
",,,,,,,,,
"
Syarikat Nam Ah Sdn Bhd(11253-D)",Tai Chee Wai,CEO,Lee Chee Kiong,General Manager,1971,"Lot 69, 
Jalan Protland Tasek Industrial Estate, 
Ipoh
",31400,Perak,Malaysia,605-291 9961/9964/9965,"NA, SOUTH ASIA
","ISO 9001 : 2015
","PVC
",,,,,,,,,
"
Syarikat Perusahaan Jooi Bersaudara Sdn Bhd(65056-P)",Ng Kiah Hwa,Chief Executive Officer,Lim Kok Huang,Sales & Marketing Manager,1989,"917 & 1510, MK 11, Jalan Kebun Nenas, 
Bukit Tengah, 
Bukit Mertajam
",14000,Pulau Pinang,Malaysia,604-508 1818,"ASADI, KAKIKU, FLIPPER, ASADI ACTIVE, ANGRY BIRD, BOLA KAMPUNG
","ISO 9001 : 2008
","EVA, PVC
",,,,,,,,,
"
Syarikat Phong Pin Plastic",Eng Phong Khai,Managing Director,Eng Phong Khai,Managing Director,,"2708, Jalan Kampung Bahru, 
Bukit Mertajam
",14000,Pulau Pinang,Malaysia,604-539 3119,"HDPE Bags, Vest Bags, Garbage Bags
,Films and Bags",None,None,,None,,,,,,,
"
Syarikat Raayat Industries Sdn Bhd(45220-X)",Ho Min Kee,Managing Director,Ho Min Kee,Managing Director,1979,"8, Jalan Korporat 1B/KU9, 
Taman Perindustrian Meru
",42200,Klang,Selangor,Malaysia,"PE, PP 
","Film Blowing/Film Extrusion
","Limpet Bags, Bio-hazard Bags, Wallet Bags, Medical Aprons, Laundry Bags, Shopping Bags, Self-adhesive Bags, Garment Bags, Pillow-case Envelopes, PE and PP films (plain and printed)
,Films and Bags, Medical",,,,,,,,,
"
Syarikat Sin Kwang Plastic Industries Sdn Bhd(18591 D)",Y. Bhg Dato' Gan Kim Huat,Managing Director,Ivan Gan Poh San,Executive Director,1974,"421, 4th Miles, 
Jalan Kluang, 
Batu Pahat
",83000,Johor,Malaysia,607-4330 777,"ISO 9001 : 2015, ISO 14001 : 2015
","ABS, PC, PMMA, POM, PS, XRON, PC/ABS
","Injection Moulding , Electronic Manufacturing Services (EMS), Principally Involved in the Manufacturing of Plastic Components, Precision Mould Making, Advance Secondary Process, Sub-assembly of Electronics Equipment and Full Turn-Key Contact Manufacturing
",,,,,,,,,
"
Syarikat Sing Seng Huat(AS0021728-H)",Pen Swee Kwang,Managing Director,Pen Swee Kwang,Managing Director,1985,"117, Jalan Murni, 
Taman Desa Murni, Sungai Dua, 
SPU
",13800,Pulau Pinang,Malaysia,604-356 2916,"Film Blowing/Film Extrusion 
","Straws, Bags
,Films and Bags, Straws",None,,,,,,,,,
"
Synergy Precision Industries Sdn Bhd(320475-U)",VK Chai,Chairman,Styler Chai,Director,1994,"21, Persiaran Kilang, 
Jelapang Industrial Estate, 
Ipoh
",30100,Perak,Malaysia,605-526 5321/527 3963,"Injection Moulding , Silkscreen-painting, Pad-printing
","Pharmacautical Ointment Box, Cover , Insert, Pill Box, Container with Sealed Cover, Measuring Cup and Spoon.Cream Box
,Containers and Bottles,Electrical and Electronics, Houseware, Medical, OEM Manufacturing, Stationery, Telecommunication, Transportation",None,,,,,,,,,
"
Synplastic Industries Sdn Bhd(180246-W)",Teo Chee Pheng,Managing Director,Teo Chee Pheng,Managing Director,1982,"Lot 720, Block 8, MTLD, Demak, 
Laut Industrial Park, Phase 3, 
Jalan Bako, Kuching
",93050,Sarawak,Malaysia,6082-433 841/42/43,"ISO 9001 : 2008
","PP, LDPE, LLDPE, HDPE, OPP, CPP Nylon
","Film Blowing/Film Extrusion, Yarn Extrusion , Flexo-Graphic Printing
",,,,,,,,,
"
Tacoplast Industries Sdn Bhd(557555-M)",Tony See Yeow Hong,Managing Director,Tony See Yeow Hong,Managing Director,2001,"Plot 245, Lorong Perindustrian Bukit Minyak 16, 
Kawasan Perindustrian Bukit Minyak, 
MK 13, S.P.T, Bukit Minyak, Simpang Empat
",14100,Pulau Pinang,Malaysia,"604-507 9366,508 7366","PE, PP
","Injection Moulding , Silkscreen-painting, Ultrasonic Welding, Heat Transfer Printing
","Industrial Pails and Cans for Food, Paints, Lubricant and Chemical Industry, Custom Made Injection Moulding Products
, Industrial and Construction",,,,,,,,,
"
Tai Hong Plastic Industries Sdn Bhd(605381-T)",Poh Yiau Seng,Managing Partner,Poh Yiau Seng,Managing Partner,1991,"TS-10196, Lorong Bertam 3, 
Kepala Batas, 
Province Wellesley
",13200,Pulau Pinang,Malaysia,604-575 5411/1729/2497,"ABS, PA, PC, PMMA, POM ,PP,PS, HIPS, LDPE and Engineering Plastic Material
","Recycling, Crushing
","Recycled Resin 
",,,,,,,,,
"
Taiko Drum Industries Sdn Bhd(78727-A)",Loh Hock Chee/John Ng King Chuan,None,None,Plant Manager/Marketing Manager,1981,"Lot 19, Fasa II, 
Tangga Batu Industrial Estate, 
Tangga Batu
",76400,Melaka,Malaysia,"606-351 3088/89/90/93, 351 6081","TAIKO
","ISO 9001 : 2008, ISO 14001 : 2004
","HDPE, PE, PP
",,"Packaging Items in General, Plastic HDPE Drum- 220 L Tight Head Single L-ring Drum, Open Head Drum (30L, 45L, 60L, 80L, 125L, 160L, 214L)
,Containers and Bottles",,,,"Singapore, Indonesia, Thailand
",,,
"
Taisei Lamick Malaysia Sdn Bhd",Takunari Oshitanai,Chief Executive Officer,Shigeyuki Tamura,Chief Financial Officer,1975,"PT87101, 
Jalan Bukit Angkat, 
Kidamai Industrial Park
",43000,Kajang,Selangor,Malaysia,"ISO 9001 : 2004, AR0676, ISO 14000 : 2004, M011701090
","PE, PP, OPP, LLDPE, CPP, Nylon, Polyester, AL FOIL, Paper
","Lamination, Printing, Slitting, Bag Making
",,,,,,,,,
"
Takaso Rubber Products Sdn Bhd(87327-V)",Francis Tee (JP),Managing Director,Lee Cher Ling,Sales & Marketing Manager,1978,"K55, 
Kawasan Perindustrian Tanjung Agas, 
Ledang
",84000,Johor,Malaysia,606-951 0988,"ROMANTIC, PLAYSAFE, JAPLO, NANE
","ISO 9001, ISO 13485, CE 0120, CCC Mark
","PP, PE, PS, PVC, Elastomer, Silicone, Latex
",,,,,,,,,
"
Tan Seng Lee Plastic (M) Sdn Bhd(55112-P)",Tan Kui Heong,None,None,Managing Director,1980,"Lot 262, MK 19, Mengkuang TITI, 
Jalan Ara Kuda, 
Bukit Mertajam
",14000,Pulau Pinang,Malaysia,604-521 2333,"PE, LDPE, LLDPE, HDPE
","Film Blowing/Film Extrusion 
","PE/HM bags-including Agriculture Bags, PE Sheets
,Agricultural,Films and Bags",,None,,,,None,,,
"
Tan Zhuan Plastic Industries Sdn Bhd(191873-H)",Tan Chee Keong,Managing Director,Tan Chee Keong,Managing Director,1990,"17 & 19 , Jalan Satria 2, 
JB Perdana Industrian Park, 
Skudai
",81300,Johor,Malaysia,607-511 6906/07/08/10,"Film Blowing/Film Extrusion
","HD/HM Bags
,Films and Bags",None,,,,,,,,,
"
T-Brand Polymer (M) Sdn Bhd(36098-U)",Tee Boon Hwa,Managing Director,Lim Bee Eng,Manager,,"2, Jalan Mutiara Emas 5/22, 
Taman Mount Austin, 
Johor Bahru
",81100,Johor,Malaysia,607-353 4163,"PE, PP and PS Resins
",None,None,,None,,,,,,,
"
TC Polythene Manufacturing Sdn Bhd(36098-U)",Tan Tai Seng,General Manager,Tan Tai Seng,General Manager,1977,"4, Jalan Budi 9/A, 
Taman Perindustrian Wawasan, 
Batu Pahat
",83000,Johor,Malaysia,607-4285903/4/5,"PE, PP, LLDPE, HDPE
","Film Blowing/Film Extrusion 
","Bags and Sacks for Packaging in General, Self-adhesive Bags, Garment Bags, Pillow-case, Envelope Bags
,Films and Bags",,,,,,,,,
"
TCL Plastic Industries Sdn Bhd(380387-A)",Edward Chuah,Managing Director,Edward Chuah,Managing Director,1996,"Lot 1555, Kampung Jaya Industrial Area, 
Jalan Kusta, 
Sungai Buloh
",47000,Selangor,Malaysia,603-6156 0184,"ISO 9001, ISO 14001
","PE, PP
","Film Blowing/Film Extrusion, Recycling
",,,,,,,,,
"
Techfoam Packaging Sdn Bhd(261324-H)",CK Lim,Managing Director,Raymond Lee,Marketing Manager,1993,"6 ½ Miles, Jalan Tanjung Labuh
Karung Berkunci 505
Batu Pahat
",83000,Johor,Malaysia,607-428 6866,"EPS
","Foam Moulding
","EPS Foam for Packaging
,Foam",,,,,,,,,
"
Teck See Plastic Sdn Bhd(36748-V)",Albert Lim,Managing Director,Alyasa Gan,Chief Operating Officer,1984,"Lot 4, Jalan Pasak 15/8, 
Off Jalan Utas, 
Shah Alam
",40200,Selangor,Malaysia,603-5510 3188,"Metrix, Lipro, OEM
","ISO/TS 16949, ISO 9002, ISO 9001, QS 9000, ISO14001
","ABS, EVA, PA, PC, PMMA,POM, PP, PS, PCABS, Nylon 66, PBT, Reinforced PP, Reinforced and Modified PP [(PRO,PPR)]
",,,,,,,,,
"
Telesonic Enterprise",Chan Kok Feng,Manager,Chan Kok Feng,Manager,"55 - 57, Hala Perusahaan Kledang Utara 1, 
Kawasan Perindustrial Park, 
Menglembu
",31450,Perak,Malaysia,605-282 7632,605-282 7631,"Nursery, Plantation and Industrial Bags
,Agricultural,Films and Bags",None,None,,,,,,,,,
"
Ten Optimum (M) Sdn Bhd(270221 T)",Francis Ip Chun Kwong,Managing Director,Francis Ip Chun Kwong,Managing Director,1993,"Lot 11, Lebuh Sultan Hishamuddin Dua, 
North Klang Straits Industrial Estate, 
Port Klang
",42000,Selangor,Malaysia,603-3176 2822,"PE, PP
","Film Blowing/Film Extrusion 
","Films and Bags, T-shirt Bag
,Films and Bags",,,,,,,,,
"
Teong Chuan Plastic (M) Sdn Bhd(33232-W)",Chuah Boon Ghee,Managing Director,Gary Chuah Siong Teck,Business Manager - Export,1977,"8 (HQ), 11, 13, 15, Lorong Petai, 
Pandamaran, 
Port Klang, Klang
",42000,Selangor,Malaysia,"603-3168 7481, 3167 0158","ISO 9001 : 2008
","LLDPE, HDPE
","Film Blowing/Film Extrusion 
",,,,,,,,,
"
Teong Hin Plastic Industries Sdn Bhd(41019-T)",Tan Kin Sing,Managing Director,Mike Tan,General Manager,1978,"3, Jalan Mashuri, 
Kawasan Perindustrian Kluang, 
Kluang
",86000,Johor,Malaysia,607-7879988/9281,"ANAHO, BB, BULAN BINTANT,KY, No.1 SUPER STAR, SMD,TARGET, TH, THP & TP
","ISO 9001 : 2015
","ABS, PE, PP
",,,,,,,,,
"
Teong Kim Plastic Industries Sdn Bhd(95323-H)",Seow Teong Kim,Stephany Teh,General Manager,1984,"Lot 1, Jalan Perusahaan Kiri, 
Mukim of Setapak
",53200,Wilayah Persekutuan,Malaysia,603-4023 1626,603-4022 7357,"ISO 9001 : 2008
","ABS, PE, PP, AS, Acrylic, HIPS, Nylon
","Injection Moulding 
",,,,,,,,,
"
Teow Guan Chan",Tan Foh Ang,Managing Director,Tan Foh Ang,Managing Director,1994,"1051, Jalan Pengkalan, Mukim 6, 
Bukit Tengah, 
Bukit Mertajam
",14000,Pulau Pinang,Malaysia,604-508 0518,None,None,None,,,,,,,,,
"
Texchem Polymers Sdn Bhd(677985-M)",Dennis Cheong,Yap Kee Keong,June Lim,Customer Service Manager,2005,"1465, Mukim 11, 
Lorong Perusahaan Maju 6, 
Prai Industrial Estate, Phase 4
",13600,Prai,Pulau Pinang,Malaysia,"
www.texchem-polymers.com,","TEXa/TXP
","ISO 9001, ISO 14001, ISO/IEC 17025
",,,,,,,,,
"
Texchem-Pack (M) Sdn Bhd(44673-D)",Johnson Tay,President/Chief Executive Officer,Khow Hong Cheong,General Manager,1979,"1465, Mukim 11, 
Lorong Perusahaan Maju 6, 
Prai Industrial Estate, Phase 4, Prai
",13600,Pulau Pinang,Malaysia,604-507 9753,"ISO 9001 : 2015, ISO 14001 : 2015, AS9100D
","ABS, PP, PS, PVC, HIPS, PET-G, APET, HDPE
","Thin Gauge Thermoforming, Thick Gauge Thermoforming , Carrier Tape, High Frequency Welding
",,,,,,,,,
"
Texchem-Pack (PP) Sdn Bhd(53719T)",Yap Kee Keong,Executive Chairman,Chong Eng Gin,"Sr, Executive, Customer Service",1979,"Part of Lot 1241, Bayan Lepas Free Industrial Zone, 
Phase III, 
Bayan Lepas
",11900,Pulau Pinang,Malaysia,604-643 8661,"WaferShipper
","ISO 9001, ISO 14001, ISO 13485, Sony Green Partner
","ABS, PA, PC, PE, PP, PS, PVC, PEI, PC Conductive, ABS Conductive, MPPE
",,,,,,,,,
"
Thai Cheong Plastic Industries",Lim Ah Boon,Proprietor,Lim Ah Boon,Proprietor,"Lot 1973, Jalan Segamat, 
Pending Industrial Estate, 
Kuching
",93450,Sarawak,Malaysia,6082-334 377,6082-337 091,None,None,None,,,,,,,,,
"
Tham Chee Plastic Industry Sdn Bhd(59699-K)",Tham Kun Seng,CEO,Iven Tham Mun Wai,General Manager,1980,"4, Jalan Taming Satu, 
Taman Taming Jaya, 
Off Jalan Balakong",43300,Selangor,Malaysia,603-8961 3121,"TC
","ABS, PP, HIPS, GPPS
","Injection Moulding 
",,,,,,,,,
"
The Potential Plastics Industries Sdn Bhd",TH Saik,Director,David Saik,Director,1988,"Plot 87, Lorong Perusahaan Maju 6, 
Prai Industrial Estate (Phase 4), 
Butterworth, Prai
",13600,Pulau Pinang,Malaysia,604-507 6655,"TQM standard
","PP, PPE, LLDPE, LDPE, OPP, CPP, Nylon
","Film Blowing/Film Extrusion , Printing and Cutting
",,,,,,,,,
"
THM Plastic Industries Sdn Bhd(389187-M)",Ch'ng Theng Gaik,Managing Director,Bacon Ch'ng baconchng@thmplastic.com.my,1978,"1334, Jalan Pahboi, 
Bukit Tambun, Simpang Ampat, 
Seberang Perai Selatan
",14110,Pulau Pinang,Malaysia,604-5886777,604-588 6081,"PP, LDPE, HDPE, mLLDPE, LLDPE
","Film Blowing/Film Extrusion, Co-Extrusion , Printing up to 8 Colours
","LDPE, HDPE, LLDPE, mLLDPE and PP Bags
,Films and Bags",,,,,,,,,
"
Thong Guan Plastic & Paper Industries Sdn Bhd(73976-V)",YBhg Dato' PC Ang,CEO/ Managing Director,Dato'PK Ang,Director,1977,"Lot 52, Jalan PKNK 1/6, 
Kawasan Perusahaan Sungai Petani, 
Sungai Petani
",8000,Kedah,Malaysia,604-4417888,"MAXSTRETCH, MAXSTRETCH PLUS, GUARDIAN
","ISO 9001, ISO 14001 : 2004, OHSAS 18001
","PE, PP, LD, LLDPE, MLL, HDPE
",,,,,,,,,
"
Thong Mee Plastic & Packaging Sdn Bhd(258253-U)",Yuen Mun Keen,Managing Director,Yuen Mun Keen,Managing Director,1980,"11, Jalan Zarib 1, 
Zarib Industrial Park, 
Ipoh
",31500,Perak,Malaysia,605-322 6829,"PVC, HDPE, LDPE, HIPS
","Compression Moulding, Film Blowing/Film Extrusion, Sheet Extrusion, Calendering , Vacuum Forming
","PVC Rigid Film, Plastic Boxes, Cases and Trays, HDPE and LDPE Bags
,Containers and Bottles,Films and Bags",,,,,,,,,
"
Timur P.A. Pipe Industry Sdn Bhd(289692-X)",YBhg Dato' Loh Keng Chong,Executive Chairman,Loh Chiak Eong,Managing Director,1994,"159, G1 Wisma Lam Hong (Ground Floor), 
Jalan Sungai Pinang
",10150,Pulau Pinang,Malaysia,"604-281 3000, 416 9888","TIMUR P.A. PIPE
","QMS-ISO 9001 : 2008, EMS - ISO 14001 : 2004
","PE
",,,,,,,,,
"
TNL Plastic Manufacturer Sdn Bhd",Tan Ken Meng,Managing Director,Chiew Ai Fii,Account,"Lot 16101, Jalan Nilai 3/16, 
Kawasan Perindustrian Nilai 3, 
Nilai
",71800,Negeri Sembilan,Malaysia,606-799 5135,606-7993 505,"Profile Extrusion , Recycling
","Industrial and Construction Products and Parts, Recycler
, Industrial and Construction","Vietnam, India, Brunei, Singapore
",,,,,,,,,
"
Today's Plastics Industries Sdn Bhd(83669-M)",Woon Chien Yang,Operation Manager,Danniel Woon,Factory Manager,1982,"Lot 22, Jalan RP3, 
RawangPerdana Industrial Estate, 
Rawang
",48000,Selangor,Malaysia,603-6091 3366,"TODAY's
","ISO 9001 : 2008
","ABS, PC, PE, PET, PP
",,,,,,,,,
"
Toho Plastic Industries(496148-K)",Ho Thau Phin @ Thomas Ho,Managing Director,Stella Ho,2004,"Lot No. 7, Lorong Perindustrian Kolombong Jaya
Pusat Perindustrian Kolombong Jaya
Miles 5 ½, Jalan Kolombong, Kota Kinabalu
",88450,Sabah,Malaysia,"6088-385 555, 012-8332552",6088-382 422,"Injection Moulding
","Fittings for uPVC Electrical Conduit Pipe
,Electrical and Electronics",None,,,,,,,,,
"
Toli Packaging Industries Sdn Bhd(267898-T)",Low Kok Wee,Managing Director,Gan Sok Yi,Sales Director,1993,"22 & 24, 
Jalan Sungai Keramat 2, 
Taman Klang Utama 19, 
Jalan Sungai Batu
",42100,Klang,Selangor,Malaysia,"
www.tolipackaging.com,","TOLI
","ISO 9001, ISO 14001
",,,,,,,,,
"
Tomypak Flexible Packaging Sdn Bhd(52748-X)",Eddie Lim Hun Swee,Group Managing Director,Ms New,Sales Admin,1979,"11, Jalan Tahana, 
Kawasan Perindustrian Tampoi, 
Johor Bahru
",80350,Johor,Malaysia,607-237 8585,"HACCP, Halal, FSSC 22000
","PE, PET, PP, AL, Foil, Nylon, Paper, OPP Film
","Film Casting , Lamination, Printing, Slitting, Bag Making, Vacuum Metalising
",,,,,,,,,
"
Tong Hong Plastic Industries",Kow Weng Huong,Director,Saw Kia Hong,Sales Director,2003,"23, Jalan Jelapang Maju 2, 
Taman Perindustrian Ringan, 
Jelapang Maju, Ipoh
",30020,Perak,Malaysia,605-526 1323,"PE, PP, HDPE
","Blow Moulding, Injection Moulding
","Marine Products, Floats and Nets Buckle, Water Sprinkle Accessories, Containers Caps and Insert
,Agricultural,Containers and Bottles,Gardening",,,,,,,,,
"
Tong Shoon Plastics Sdn Bhd(225542-W)",Chuan Seong Tong,Managing Director,Chuan Seong Tong,Managing Director,1979,"PT 114042, Off Persiaran Perindustrian Pengkalan 8, 
Taman Perindustrian Pengkalan, 
Lahat
",31500,Perak,Malaysia,"605-321 2118/4953,323 6118","KOLOK BABY, BABYKING, CITYBOY, CITYSPORT, APPLE, CITYBABY, CITYKIDS, SANXIAO, ZIPPY, WINTER SPORTS, CAMERA, CUPID BABY
","ABS, PC, PP, PS, Liquid Silicone (LSR)
","Injection Moulding, Silkscreen-painting, Injection Blow Moulding , Silkscreen-painting
",,,,,,,,,
"
Tonma Polyethylene Sdn Bhd(493949-A)",Chng Tong Lin,Marketing Manager,1979,"Lot 2, Kawasan Miel, 
Semambu, 
Kuantan
",Pahang,Malaysia,609-566 1452,609-566 1990,"
chngtong@streamyx.com
,","EAGLE
",None,None,None,,,,,,,,,
"
Top CC & Plastic Masterbatches Sdn Bhd(1070640-A)",Walter Chee,Director,John Tan,General Manager,2013,"3, Jalan Perusahaan, 
Kawasan Perindustrian Parit Hulu, 
Bukit Bakri
",84200,Muar,Johor,Malaysia,"
www.topcc.com.my,","PE, PP
","Compounds, Compound Extrusion , 
",,,,,,,,,
"
Top Glove Sdn Bhd(220483-T)",Hue Kon Fah,Executive Director,Loh Keng Kong,Senior IETS Manger,1991,"Lot 4960, Jalan Teratai, 
Batu 6, Off Jalan Meru, 
Klang
",41050,Selangor,Malaysia,603-3392 3375/2568,"TOP GLOVE
","CGSB (Canada), TUV (Germany), CE 0120 (Europe), FDA (USA), TGA (Australia), SMG (Malaysia)
","PE
",,,,,,,,,
"
Top Ten Plastics Industries Sdn Bhd(277634-P)",Y. Bhg Dato' Shum Long Sang,Managing Director,Y. Bhg Dato' Shum Long Sang,Managing Director,1993,"11, Persiaran Perindustrian Silibin 1, 
Kawasan Perindustrian Ringan Silibin, 
Ipoh
",30100,Ipoh,Perak,Malaysia,"
www.toptenplastics.com,","ISO 9001 : 2008
","PE, PET, MLDPE, MPET, CPP, MCPP, RCPP,OPP, MOPP, BOPP, Nylon, Aluminium Foil, Copolymer
",,,,,,,,,
"
Top-A Plastic Sdn Bhd(314073-X)",Alice Yeap Chooi Peng,Managing Director,Alice Yeap Chooi Peng,Managing Director,1994,"Lot 2398, Jalan Dato Mohd Sidin, 
Off Jalan Connaught Bridge, 
Klang
",41300,Selangor,Malaysia,"603-3343 5796/8620,3342 3589","ISO 9001 : 2008, ISO 14000: 2004
","ABS, PC, POM, PP, HIPS
","Injection Moulding , Printing, Spraying, Assembly, Metal Coating
",,,,,,,,,
"
Toto Malaysia Sdn Bhd",Yasuhiro Yanagawa,Managing Director,1995,"Lot 74 - 85, P.B.T. 1, 
Senawang Industrial Park, 
Seremban
",70400,Negeri Sembilan,Malaysia,606-678 2506,606-678 2508,"
gmchin@toto.com,izzat@toto.com
,","Japan, Asia, Taiwan, United States
",None,None,,,,,,,,,
"
Toyo Plastic (M) Sdn Bhd(7946D)",Chan Kwong Sing,Managing Director,Mark Chan,Executive Director,1968,"Lot 56, 
Tasek Industrial Estate, 
Ipoh
",31400,Perak,Malaysia,605-547 5818,"ISO 9001 : 2015, ISO 140001 : 2015
","ABS, PE, PP, PS, HIPS, PS Clear
","Sheet Extrusion, Thermoforming, Injection Moulding
",,,,,,,,,
"
TPI Plastic Industries (M) Sdn Bhd(844614-U)",Choong Kon Chee,Managing Director,Choong Kon Chee,Managing Director,1991,"16, Lorong Nagasari 9, 
Taman Nagasari, Kawasan Perusahaan Perai, 
Perai
",13600,Pulau Pinang,Malaysia,604-399 3937,"Injection Moulding, Blow Moulding, Extrusion, Thermoforming , Silkscreen-painting, Hot Stamping
","Plastic Packaging, Jar, Bottle, Containers, Boxes, Closures
,Containers and Bottles","China, Hong Kong, Singapore, Australia
",,,,,,,,,
"
Triplus Industry Sdn Bhd(297196-U)",Yeon Kok Kuang,Managing Director,Yeon Kok Kuang,Managing Director,"Lot 5012, Jalan Teratai, 
5th Miles, Meru, 
Klang
",41050,Selangor,Malaysia,603-3392 9788,603-3392 9208,"ABS, PMMA, POM, PP, PS
","Injection Moulding , Spray-painting, Silkscreen-painting, Assembly
","LCD TV Product, Computer Hard Disc, Car Air Bag, Audio-Hifi Parts, Assembly of Electronics Parts, Power Supply, DVD, VCR, Airlines Product
,Electrical and Electronics, Industrial and Construction",,,,,,,,,
"
Trocellen S.E.A Sdn Bhd(116243-U)",SF Chew,Managing Director,CJ Lim,Senior Sales & Marketing Manager,1984,"Lot 2213, Batu 9 Kebun Baru, 
Jalan Kasawari, 
Telok Panglima Garang
",46300,Selangor,Malaysia,603-3122 1213,"TROCELLEN, i-WALS, PROGAME, AIRPRO, HEATPRO
","ISO 9001 : 2015
","LDPE, HDPE, EVA Copolymer
",,,,,,,,,
"
TS Plastics Sdn Bhd(370104-A)",Oh Chew Hua,Managing Director,Vincent Oh Kai Hoo,Executive Director,1977,"PT 30131, Off Jalan Johan 2/1A, 
Estate Perindustrian Pengkalan II, 
Pusing
",31550,Perak,Malaysia,"605-365 2899/4899,366 6899/7899","TSP
","ISO 9001 : 2008
","PE,PP, BOPP, CPP, LLDPE, Polyester, Nylon Film, Foil
",,,,,,,,,
